cusip,first_year,last_year,null_count,total_values,percent_nulls
78573M104,2013,2024,12,144,8.333333333333332
46266C105,2011,2024,14,168,8.333333333333332
02376R102,1985,2024,54,480,11.25
445658107,1985,2024,56,480,11.666666666666666
55270M108,1992,2001,46,120,38.333333333333336
73754Y100,2011,2024,18,168,10.714285714285714
745867101,1985,2024,114,480,23.75
833034101,1985,2024,56,480,11.666666666666666
422704106,1985,2024,71,480,14.791666666666666
571903202,1992,2024,49,396,12.373737373737374
74158E104,1985,2024,57,480,11.875
913259107,1985,2024,80,480,16.666666666666664
98880R307,2009,2024,16,192,8.333333333333332
638588103,1997,2002,19,72,26.38888888888889
57776J100,2008,2024,17,204,8.333333333333332
681936100,1992,2024,88,396,22.22222222222222
36192A109,2012,2020,18,108,16.666666666666664
87165B103,2012,2024,28,156,17.94871794871795
82846H405,2012,2024,13,156,8.333333333333332
917311805,1995,2000,39,72,54.166666666666664
055298103,2003,2024,155,264,58.71212121212122
19623P101,1998,2024,193,324,59.5679012345679
320817109,1989,2024,274,432,63.42592592592593
52603B107,2006,2024,21,228,9.210526315789473
12541W209,1995,2024,34,360,9.444444444444445
880345103,1985,2024,58,480,12.083333333333334
087866109,1994,2007,107,168,63.69047619047619
M22013102,1998,2024,27,324,8.333333333333332
516544103,2013,2024,12,144,8.333333333333332
74319R101,1995,2024,72,360,20.0
G4095J109,2005,2024,45,240,18.75
141706309,1990,1999,18,120,15.0
749360400,2000,2024,25,300,8.333333333333332
86787D208,1995,2003,41,108,37.96296296296296
33741H107,1986,2024,313,468,66.88034188034187
09609G209,2011,2024,14,168,8.333333333333332
57667L107,1996,2024,32,348,9.195402298850574
969457100,1985,2024,57,480,11.875
46121E304,1991,2024,42,408,10.294117647058822
68752M108,1991,2024,41,408,10.049019607843137
18911Q102,2008,2018,11,132,8.333333333333332
946760105,1994,2024,36,372,9.67741935483871
157210105,1998,2024,27,324,8.333333333333332
056525108,1985,2024,72,480,15.0
28618M106,2012,2024,18,156,11.538461538461538
14167L103,2012,2024,13,156,8.333333333333332
Y7542C130,2007,2024,18,216,8.333333333333332
N53745100,2008,2024,17,204,8.333333333333332
220873103,1985,2008,202,288,70.13888888888889
39304D102,2010,2024,15,180,8.333333333333332
M40184208,2000,2024,25,300,8.333333333333332
042315705,2008,2024,34,204,16.666666666666664
49721T507,2013,2024,12,144,8.333333333333332
46131B704,2008,2024,38,204,18.627450980392158
723443107,2001,2011,11,132,8.333333333333332
419596101,1985,2024,54,480,11.25
01973R101,2010,2024,15,180,8.333333333333332
30329Y304,1994,2024,39,372,10.483870967741936
69007J304,2012,2024,15,156,9.615384615384617
G4705A100,2005,2024,20,240,8.333333333333332
226552107,2010,2024,15,180,8.333333333333332
G87110105,1999,2024,32,312,10.256410256410255
48251W104,2008,2024,37,204,18.137254901960784
929566107,1990,2024,52,420,12.380952380952381
265903104,1995,2007,15,156,9.615384615384617
92337C203,2010,2024,18,180,10.0
G5698W116,2010,2024,15,180,8.333333333333332
427093307,2004,2015,14,144,9.722222222222223
72702Q102,1991,2000,56,120,46.666666666666664
62855J104,2021,2024,4,48,8.333333333333332
620076307,1985,2024,54,480,11.25
683797104,1985,2024,160,480,33.33333333333333
444859102,1993,2024,62,384,16.145833333333336
G9059U107,2012,2024,13,156,8.333333333333332
783754104,1985,2024,60,480,12.5
